indicator_id,indicator_nameA,indicator_nameE,period,frequency,year,quarter,month,value,unitA,unitE,sourceId,periodicityId,periodicityA,periodicityE,dimensions,dataQuality,changeRate
230,قيمة الدعم السلعي,Commodity Subsidy Amount,2011,A,2011,,,102.642,مليار جنيه,Billion L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
230,قيمة الدعم السلعي,Commodity Subsidy Amount,2012,A,2012,,,127.038,مليار جنيه,Billion L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
230,قيمة الدعم السلعي,Commodity Subsidy Amount,2013,A,2013,,,162.814,مليار جنيه,Billion L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
230,قيمة الدعم السلعي,Commodity Subsidy Amount,2014,A,2014,,,176.586,مليار جنيه,Billion L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
230,قيمة الدعم السلعي,Commodity Subsidy Amount,2015,A,2015,,,176.586,مليار جنيه,Billion L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
230,قيمة الدعم السلعي,Commodity Subsidy Amount,2016,A,2016,,,125.739,مليار جنيه,Billion L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
230,قيمة الدعم السلعي,Commodity Subsidy Amount,2017,A,2017,,,191.673,مليار جنيه,Billion L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
230,قيمة الدعم السلعي,Commodity Subsidy Amount,2018,A,2018,,,232.322,مليار جنيه,Billion L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
230,قيمة الدعم السلعي,Commodity Subsidy Amount,2019,A,2019,,,191.032,مليار جنيه,Billion L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
230,قيمة الدعم السلعي,Commodity Subsidy Amount,2020,A,2020,,,101.699,مليار جنيه,Billion L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
230,قيمة الدعم السلعي,Commodity Subsidy Amount,2021,A,2021,,,105.812,مليار جنيه,Billion L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
230,قيمة الدعم السلعي,Commodity Subsidy Amount,2022,A,2022,,,163.603,مليار جنيه,Billion L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
230,قيمة الدعم السلعي,Commodity Subsidy Amount,2023,A,2023,,,252.261,مليار جنيه,Billion L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
230,قيمة الدعم السلعي,Commodity Subsidy Amount,2024,A,2024,,,304.795,مليار جنيه,Billion L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
230,قيمة الدعم السلعي,Commodity Subsidy Amount,2025,A,2025,,,297.806,مليار جنيه,Billion L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,,
230,قيمة الدعم السلعي,Commodity Subsidy Amount,2026,A,2026,,,318.053,مليار جنيه,Billion L.E,1157,52,سنوى مالى,Fiscal Year,الدولة : مصر,,
237,قيمة المبلغ المنصرف لبرنامج تكافل وكرامة,Total amount of cash transferred to Takaful and Karama beneficiaires,2017,A,2017,,,6.19,مليار جنيه,Billion L.E,26077,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
237,قيمة المبلغ المنصرف لبرنامج تكافل وكرامة,Total amount of cash transferred to Takaful and Karama beneficiaires,2018,A,2018,,,12.43,مليار جنيه,Billion L.E,26077,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
237,قيمة المبلغ المنصرف لبرنامج تكافل وكرامة,Total amount of cash transferred to Takaful and Karama beneficiaires,2019,A,2019,,,12.42,مليار جنيه,Billion L.E,26077,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
237,قيمة المبلغ المنصرف لبرنامج تكافل وكرامة,Total amount of cash transferred to Takaful and Karama beneficiaires,2020,A,2020,,,14.68,مليار جنيه,Billion L.E,26077,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
237,قيمة المبلغ المنصرف لبرنامج تكافل وكرامة,Total amount of cash transferred to Takaful and Karama beneficiaires,2021,A,2021,,,18.488,مليار جنيه,Billion L.E,26077,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
237,قيمة المبلغ المنصرف لبرنامج تكافل وكرامة,Total amount of cash transferred to Takaful and Karama beneficiaires,2022,A,2022,,,19.351,مليار جنيه,Billion L.E,26077,52,سنوى مالى,Fiscal Year,الدولة : مصر,متوسطة,
237,قيمة المبلغ المنصرف لبرنامج تكافل وكرامة,Total amount of cash transferred to Takaful and Karama beneficiaires,2023,A,2023,,,23.811,مليار جنيه,Billion L.E,26077,52,سنوى مالى,Fiscal Year,الدولة : مصر,,
